Test File,Processes,Threads,Run,Computation Time (s),Matches Sequential
1600k_100.inp,2,32,1,6.209677,Yes
1600k_100.inp,2,32,2,7.082556,Yes
1600k_100.inp,2,32,3,5.743435,Yes
1600k_100.inp,2,32,4,7.0347,Yes
1600k_100.inp,2,32,5,5.797744,Yes
1600k_100.inp,4,2,1,34.836889,Yes
1600k_100.inp,4,2,2,34.968406,Yes
1600k_100.inp,4,2,3,34.905007,Yes
1600k_100.inp,4,2,4,34.827627,Yes
1600k_100.inp,4,2,5,34.860977,Yes
1600k_100.inp,4,4,1,17.980172,Yes
1600k_100.inp,4,4,2,17.997419,Yes
1600k_100.inp,4,4,3,17.995089,Yes
1600k_100.inp,4,4,4,17.849627,Yes
1600k_100.inp,4,4,5,18.009552,Yes
1600k_100.inp,4,8,1,9.392229,Yes
1600k_100.inp,4,8,2,9.392471,Yes
1600k_100.inp,4,8,3,9.311391,Yes
1600k_100.inp,4,8,4,9.243198,Yes
1600k_100.inp,4,8,5,9.325238,Yes
1600k_100.inp,4,16,1,4.998684,Yes
1600k_100.inp,4,16,2,5.006866,Yes
1600k_100.inp,4,16,3,5.04198,Yes
1600k_100.inp,4,16,4,5.008027,Yes
1600k_100.inp,4,16,5,5.149112,Yes
1600k_100.inp,4,32,1,3.591846,Yes
1600k_100.inp,4,32,2,3.502018,Yes
1600k_100.inp,4,32,3,3.729509,Yes
1600k_100.inp,4,32,4,3.664598,Yes
1600k_100.inp,4,32,5,3.411517,Yes
1600k_100.inp,8,2,1,19.05146,Yes
1600k_100.inp,8,2,2,19.122378,Yes
1600k_100.inp,8,2,3,19.265473,Yes
1600k_100.inp,8,2,4,18.770932,Yes
1600k_100.inp,8,2,5,18.788967,Yes
1600k_100.inp,8,4,1,10.162899,Yes
1600k_100.inp,8,4,2,10.073453,Yes
1600k_100.inp,8,4,3,10.047993,Yes
1600k_100.inp,8,4,4,10.037344,Yes
1600k_100.inp,8,4,5,10.33481,Yes
1600k_100.inp,8,8,1,5.746009,Yes
1600k_100.inp,8,8,2,5.669956,Yes
1600k_100.inp,8,8,3,5.60426,Yes
1600k_100.inp,8,8,4,5.668488,Yes
1600k_100.inp,8,8,5,5.560248,Yes
1600k_100.inp,8,16,1,3.27604,Yes
1600k_100.inp,8,16,2,3.189321,Yes
1600k_100.inp,8,16,3,3.308345,Yes
1600k_100.inp,8,16,4,3.19839,Yes
1600k_100.inp,8,16,5,3.359163,Yes
1600k_100.inp,8,32,1,2.396607,Yes
1600k_100.inp,8,32,2,2.272061,Yes
1600k_100.inp,8,32,3,2.326556,Yes
1600k_100.inp,8,32,4,2.327819,Yes
1600k_100.inp,8,32,5,2.324271,Yes
